GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mybatis-spring,org.mybatis.spring.batch,MyBatisCursorItemReader,0,102,0,8,0,32,0,13,0,9
mybatis-spring,org.mybatis.spring.batch,MyBatisBatchItemWriter,5,144,2,14,0,37,3,15,1,9
mybatis-spring,org.mybatis.spring.batch,MyBatisPagingItemReader,0,114,0,6,0,29,0,10,0,7
mybatis-spring,org.mybatis.spring.batch,MyBatisBatchItemWriter.PassThroughConverter,0,2,0,0,0,1,0,1,0,1
mybatis-spring,org.mybatis.spring,SqlSessionUtils.SqlSessionSynchronization,63,103,6,8,7,37,13,8,7,7
mybatis-spring,org.mybatis.spring,MyBatisExceptionTranslator,6,92,2,14,1,25,2,11,0,5
mybatis-spring,org.mybatis.spring,SqlSessionUtils,27,178,3,19,0,50,10,15,7,7
mybatis-spring,org.mybatis.spring,MyBatisSystemException,6,5,0,0,2,2,1,1,1,1
mybatis-spring,org.mybatis.spring,SqlSessionTemplate,110,123,0,0,23,28,19,18,19,18
mybatis-spring,org.mybatis.spring,SqlSessionFactoryBean,102,691,5,69,19,160,18,85,13,53
mybatis-spring,org.mybatis.spring,SqlSessionTemplate.SqlSessionInterceptor,0,73,3,7,0,18,3,4,0,2
mybatis-spring,org.mybatis.spring,SqlSessionHolder,0,27,0,0,0,10,0,4,0,4
mybatis-spring,org.mybatis.logging,LoggerFactory,6,6,0,0,1,1,1,1,1,1
mybatis-spring,org.mybatis.logging,Logger,32,18,3,1,8,7,5,3,3,3
mybatis-spring,org.mybatis.spring.config,MapperScannerBeanDefinitionParser,13,212,1,19,3,49,1,13,0,4
mybatis-spring,org.mybatis.spring.config,NamespaceHandler,0,10,0,0,0,3,0,2,0,2
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisBatchItemWriterBuilder,0,65,0,0,0,18,0,7,0,7
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisCursorItemReaderBuilder,0,75,0,0,0,21,0,8,0,8
mybatis-spring,org.mybatis.spring.batch.builder,MyBatisPagingItemReaderBuilder,0,90,0,0,0,24,0,9,0,9
mybatis-spring,org.mybatis.spring.support,SqlSessionDaoSupport,12,34,3,3,2,10,4,7,2,6
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner,98,367,19,43,18,102,22,39,8,22
mybatis-spring,org.mybatis.spring.mapper,MapperScannerConfigurer,25,504,6,42,10,123,10,44,4,24
mybatis-spring,org.mybatis.spring.mapper,MapperFactoryBean,14,66,0,4,3,22,0,12,0,10
mybatis-spring,org.mybatis.spring.mapper,ClassPathMapperScanner.new AssignableTypeFilter() {...},0,9,0,0,0,2,0,2,0,2
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransaction,25,95,6,14,2,26,8,13,3,8
mybatis-spring,org.mybatis.spring.transaction,SpringManagedTransactionFactory,6,8,0,0,2,2,2,2,2,2
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar.RepeatingRegistrar,0,34,1,3,0,9,1,3,0,2
mybatis-spring,org.mybatis.spring.annotation,MapperScannerRegistrar,0,400,1,35,0,84,1,26,0,8
